,TOTAL,HEART,CANCER,STROKE,RESPIR,ACCID,VEHICLE,DIABETES,ALZHEIM,FLU,NEPHRITIS,SUICIDE,HOMICIDE,AIDS,TTLPOP(K),POP<18(K),POP>65(K),RRLPOP(K)
New Hampshire,778.1,203.1,196.5,45.1,46.2,34.2,12.7,24.1,25.5,20.9,12.5,10.2,1.8,(S),"1,307",302,160,503
New Jersey ,820.5,236.4,197.8,43.5,34.8,26.7,8.9,29.8,19.7,18.2,18.7,6.9,4.7,7.7,"8,703","2,106","1,125",475
New Mexico ,751.2,171.5,159.5,37.9,39.6,64.3,25.2,31.0,17.2,16.2,11.9,18.7,9.1,1.2,"1,926",506,236,456
New York ,794.1,272.9,187.8,36.0,35.3,23.6,8.2,20.4,10.3,28.6,12.4,6.2,4.5,9.0,"19,316","4,566","2,515","2,374"
North Carolina,847.5,206.1,192.9,58.0,42.4,47.1,19.8,26.4,25.6,19.7,17.2,12.0,7.2,4.8,"8,672","2,113","1,055","3,200"
North Dakota,882.9,231.7,199.4,74.9,43.0,43.2,18.4,32.9,49.3,23.3,8.7,11.5,(S),(S),635,146,93,283
Ohio,927.5,253.8,217.6,56.7,51.5,36.9,12.1,31.5,25.5,19.2,16.5,11.5,4.9,1.5,"11,471","2,791","1,528","2,571"
Oklahoma,978.6,293.3,206.3,62.0,56.3,55.3,21.7,32.3,24.6,23.0,16.0,14.4,6.3,2.1,"3,543",886,469,"1,196"
Oregon,843.3,187.1,201.3,64.8,49.5,40.2,13.9,29.9,35.1,15.5,8.6,15.4,3.1,1.8,"3,639",850,469,727
Pennsylvania ,"1,028.8",293.7,237.2,62.8,48.2,41.9,12.9,28.8,26.4,23.7,24.7,11.4,5.5,3.8,"12,405","2,821","1,888","2,817"
Rhode Island,904.0,274.7,223.8,48.3,42.8,27.6,9.2,25.9,26.2,24.1,12.1,7.9,2.7,2.6,"1,074",242,149,95
South Carolina,887.9,218.7,198.9,63.0,42.7,49.9,24.6,27.8,29.7,18.3,19.5,11.5,7.7,6.4,"4,247","1,030",537,"1,585"
South Dakota,886.4,231.3,201.7,60.8,50.7,54.0,24.5,29.7,31.5,23.2,11.9,14.5,3.1,(S),775,195,110,363
Tennessee,946.1,254.8,213.3,62.4,50.6,53.5,23.5,31.9,27.4,26.6,11.5,13.4,7.1,4.9,"5,956","1,428",753,"2,069"
Texas,679.7,178.7,150.9,43.8,32.9,37.0,17.2,24.2,19.3,14.3,11.4,10.2,6.3,4.7,"22,929","6,338","2,279","3,648"
Utah ,558.0,123.1,102.3,33.1,24.9,29.2,13.4,20.3,15.7,16.1,9.8,15.8,1.9,1.3,"2,490",775,218,263
Vermont,803.8,207.4,195.0,48.6,47.6,40.7,13.4,24.1,27.8,13.8,9.2,15.0,(S),(S),622,136,82,376
Virginia,758.1,191.5,179.4,50.8,36.6,35.3,13.6,21.5,19.8,19.4,16.7,11.1,5.4,3.1,"7,564","1,803",868,"1,909"
Washington,721.7,171.6,177.1,52.3,41.1,37.7,10.8,24.3,36.0,11.9,5.6,13.4,3.5,2.0,"6,292","1,520",721,"1,063"
West Virginia,"1,145.4",312.6,258.6,64.9,67.5,61.1,22.8,46.3,27.2,26.1,24.8,15.7,4.4,1.7,"1,814",389,278,976
Wisconsin,827.7,216.2,197.1,55.7,42.0,41.8,14.8,23.8,25.8,20.7,16.8,12.0,2.7,0.9,"5,528","1,321",719,"1,700"
Wyoming,780.8,187.6,172.7,42.2,60.8,18.0,23.9,21.7,20.7,21.5,8.9,17.4,(S),(S),509,122,62,172
